attached_links_url,attached_medias_url,attached_videos,author_id,author_username,community_notes,conversation_id,created_time,favorite_count,geo_lat,geo_lon,id,in_reply_to_post_id,in_reply_to_profile_id,in_reply_to_profile_username,place_country_code,place_country_name,place_full_name,place_type,post_type,quote_count,quoted_status_id,quoted_status_profile_username,reply_count,retweet_count,source,text,text_lang,text_tagged_users,text_tags,timestamp,view_count,term,sentiment,tone
,https://pbs.twimg.com/media/F9B7IGiXwAAs1Op.jpg,,1659871093513920512,TheTechKage,,1716006842927587398,2023-10-22T08:21:27,165,,,1716006842927587398,,,,,,,,post,1,,,7,35,,"Data Science 

#DataAnalytics #DataScience #Tech https://t.co/lZ1BMnHz2s",en,,dataanalytics--|--datascience--|--tech,1697962887,8113,data analytics,unknown,unknown
,,,892433001946198026,andreavbecker,,1716107291492057216,2023-10-22T15:00:36,46595,,,1716107291492057216,,,,,,,,quote,1164,1715779383028523018,FilmUpdates,140,5113,,love that everyone’s rock bottom is registering for a data analytics course,en,,,1697986836,3369484,data analytics,unknown,unknown
,https://video.twimg.com/ext_tw_video/1716137790050598912/pu/vid/avc1/576x1024/cc1_k3NaJ-9-Vo-j.mp4?tag=12,https://video.twimg.com/ext_tw_video/1716137790050598912/pu/vid/avc1/576x1024/cc1_k3NaJ-9-Vo-j.mp4?tag=12,1222867451043512320,workdeyhere,,1716137831721021644,2023-10-22T17:01:58,14,,,1716137831721021644,,,,,,,,post,0,,,0,6,,Six ways to learn Data Analytics and Data Science https://t.co/Es0yU3uosh,en,,,1697994118,574,data analytics,unknown,unknown
,https://pbs.twimg.com/media/F9D6d0zXAAAQsV4.jpg,,202602434,ADAUniversity,,1716146855111700756,2023-10-22T17:37:49,139,,,1716146855111700756,,,,,,,,post,4,,,11,7,,"ADA Community is deeply saddened by the loss of our student, Nijad Huseynov, who passed away after a tragic accident in Washington, DC, 🇺🇸 
Nijad was our graduate student at Master of Science in Computer Science and Data Analytics program, dual degree with the GW University. https://t.co/xsFQs2lKgi",en,,,1697996269,63831,data analytics,unknown,unknown
,,,963953231209619456,tddt_5115,,1716259714005365086,2023-10-23T01:06:17,58,,,1716259714005365086,,,,,,,,post,1,,,10,2,,"The mfs on this app who make publicly available hockey data/analytics gotta be the most narcissistic, self-righteous people on earth",en,,,1698023177,8924,data analytics,unknown,unknown
http://amzn.to/3dRgs18,https://pbs.twimg.com/media/F9FszkJaEAAgDfE.jpg,,534563976,KirkDBorne,,1716272571757613201,2023-10-23T01:57:22,600,,,1716272571757613201,,,,,,,,post,4,,,2,145,,"#DataScience for Business — What You Need to Know about #DataMining and Data-Analytic Thinking: https://t.co/WnVUv0Et65
—————
#BigData #AI #MachineLearning #DataLiteracy #AnalyticThinking #BusinessAnalytics #DataAnalytics #DataScientists #Analytics #DataLeadership @LeadershipData https://t.co/WHsBvNo6OW",en,LeadershipData,ai--|--analytics--|--analyticthinking--|--bigdata--|--businessanalytics--|--dataanalytics--|--dataleadership--|--dataliteracy--|--datamining--|--datascience--|--datascientists--|--machinelearning,1698026242,48001,data analytics,unknown,unknown
http://drive.google.com/drive/mobile/f,,,1690780610007121920,jobseekerhub,,1716390423499862170,2023-10-23T09:45:40,8,,,1716390423499862170,,,,,,,,post,0,,,1,8,,"You can learn the following for FREE:

📍Agile
📍Business Analytics 
📍Big Data 
📍Data Analytics
📍Data visualization 
📍Microsoft Excel
📍Product Management
📍Project Management 
📍Scrum
📍SQL
📍UI/UX

Link:

https://t.co/ZNWy3995IP",en,,,1698054340,767,data analytics,unknown,unknown
https://ezebami04.github.io/EzeBami04.gihub.io/,,,772874988022067200,EzekielOmobami1,,1716407196466987309,2023-10-23T10:52:19,6,,,1716407196466987309,,,,,,,,post,0,,,0,5,,"Hello X Fam

I am looking for a data analytics job or internship.

I am a data analyst with a vast knowledge of SQL, Python, PowerBI, Tableau and Excel. Click on this link to my portfolio website 
https://t.co/ReQzkWWl7c

#DataAnalytics 
#DataScience 
#Database",en,,dataanalytics--|--database--|--datascience,1698058339,451,data analytics,unknown,unknown
https://www.syntaxtechs.com/courses/data-analytics-and-business-intelligence-training-course-online,https://video.twimg.com/ext_tw_video/1716433608892928000/pu/vid/avc1/1280x720/M2GO1VH_8Y7qvOjC.mp4?tag=12,https://video.twimg.com/ext_tw_video/1716433608892928000/pu/vid/avc1/1280x720/M2GO1VH_8Y7qvOjC.mp4?tag=12,1684463530094088192,itzcharlessmith,,1716434117318041627,2023-10-23T12:39:18,0,,,1716434117318041627,,,,,,,,post,0,,,0,0,,"Both online #DataAnalytics #courses and in-person programs offer distinct benefits and drawbacks. Your choice should be based on your individual circumstances, preferred learning style, and #Career objectives. 

Online Data Analytics Course Link: https://t.co/2FyOUur4Kg https://t.co/c4qHc1w1lU",en,,career--|--courses--|--dataanalytics,1698064758,20,data analytics,unknown,unknown
,,,321787970,ErnieLies,,1716440509093224851,2023-10-23T13:04:41,1375,,,1716440509093224851,,,,,,,,quote,1,1715779383028523018,filmupdates,3,44,,Data Analytics guys all in a boardroom screaming “we could’ve had Gladstone!”,en,,,1698066281,50880,data analytics,unknown,unknown
