attached_links_url,attached_medias_url,attached_videos,author_id,author_username,community_notes,conversation_id,created_time,favorite_count,geo_lat,geo_lon,id,in_reply_to_post_id,in_reply_to_profile_id,in_reply_to_profile_username,place_country_code,place_country_name,place_full_name,place_type,post_type,quote_count,quoted_status_id,quoted_status_profile_username,reply_count,retweet_count,source,text,text_lang,text_tagged_users,text_tags,timestamp,view_count,term,sentiment,tone
https://arab.news/zph9a,,,69172612,arabnews,,1715675195648664045,2023-10-21T10:23:37,6,,,1715675195648664045,,,,,,,,post,0,,,1,3,,"#MEDIAMATTERS: After #Israel’s narrative initially dominated Western media, activists used social media to debunk false claims, share graphic images from #Gaza, and mobilize support for Palestinian cause | https://t.co/k5fXXy9pu6",en,,gaza--|--israel--|--mediamatters,1697883817,3959,social media analysis,unknown,unknown
,https://pbs.twimg.com/media/F891f8HXAAAe2hs.jpg,,957349445955338240,GossipsTv,,1715719178286711200,2023-10-21T13:18:23,235,,,1715719178286711200,,,,,,,,post,62,,,54,44,,"#GTVRanking
MOST LOVING FICTION CHARACTER MALE MID October 2023

1.#Jethalal
2.#AnujKapadia
3.#Viaan
4.#Abhimanyu
5.#Ishaan
6.#Vikrant
7.#Raghav (NEW ENTRY)
8.#Shiva

@GossipsTv REPORT
Based on Social Media Interactions and analysis) https://t.co/X77LKwRINi",en,GossipsTv,abhimanyu--|--anujkapadia--|--gtvranking--|--ishaan--|--jethalal--|--raghav--|--shiva--|--viaan--|--vikrant,1697894303,65430,social media analysis,unknown,unknown
,,,768901764,MarcusDXi,,1715852662904652261,2023-10-21T22:08:48,14,,,1715852662904652261,,,,,,,,quote,0,1715837402135036380,lauriewhitwell,0,5,,The only way Harry stops abuse and daft micro analysis is by performing like this every week which nobody else is subjected to. 1 mistake like others make and he’ll be plastered all over social media. Disgusting people. And that bellend Goldbridge started this tripe.,en,,,1697926128,354,social media analysis,unknown,unknown
,https://video.twimg.com/ext_tw_video/1715854360117387264/pu/vid/avc1/1280x576/L1D5mP9S2Sb38hWL.mp4?tag=12,https://video.twimg.com/ext_tw_video/1715854360117387264/pu/vid/avc1/1280x576/L1D5mP9S2Sb38hWL.mp4?tag=12,219089769,Medicayy,,1715854414723035600,2023-10-21T22:15:46,0,,,1715854414723035600,,,,,,,,post,0,,,0,0,,"#Markenny's analysis on #Gaza and realise of two #American Hostages is so cliché and almost taken from other #socialmedia without putting any thoughts or efforts into retelling the same tail that we have heard over and over from #RupertMurdoch's echo chambers.
#auspol #insiders https://t.co/H99yQcc2nX",en,,american--|--auspol--|--gaza--|--insiders--|--markenny--|--rupertmurdoch--|--socialmedia,1697926546,118,social media analysis,unknown,unknown
https://nyti.ms/3MbDWAB,,,16686144,nytopinion,,1715948501127881050,2023-10-22T04:29:38,8,,,1715948501127881050,,,,,,,,post,0,,,1,1,,"“It’s really hard to do nuanced analysis in a format that really only allows for 280 characters at a time,’” @espiers says in this audio essay discussing the benefits of staying silent on social media, especially in moments like this.

Listen: https://t.co/ugcaI9SFIN",en,espiers,,1697948978,6113,social media analysis,unknown,unknown
https://www.eventbrite.com/e/marketing-with-nodexl-social-media-network-analysis-with-a-few-clicks-tickets-719199163057?aff=estw&utm_experiment=control,,,761985198967914496,NodeXLAcademy,,1715997470801510759,2023-10-22T07:44:13,10,,,1715997470801510759,,,,,,,,post,0,,,0,5,,"This event will introduce the importance of social media in marketing & provide an overview of NodeXL Pro for the analysis of social media data.

Date: Fri, Oct 27 • 14:00 BST

https://t.co/Mf7Z9ldkRe

#marketing #nodexl #smallbiz",en,,marketing--|--nodexl--|--smallbiz,1697960653,458,social media analysis,unknown,unknown
,https://pbs.twimg.com/media/F9CZ1NGawAAOB5w.jpg,,750759915774291969,Chacha_huu,,1716040600125153781,2023-10-22T10:35:36,781,,,1716040600125153781,,,,,,,,post,11,,,92,194,,"Meet Rubika Liyaquat, An Honorable Indian Anchor

Analysis of Her Journalism in Israel-Palestine War

Cried ✅
Ground Report ✅
Risked Her Life✅
Made Instagram Reels✅
Social Media Live Reporting✅
Reporting in Dark Late Night✅

Analysis of Her Journalism For Her Own Country's… https://t.co/RWEVCkrWcT",en,,,1697970936,111559,social media analysis,unknown,unknown
,,,1543668942530568193,BNamasoko,,1716091470875087071,2023-10-22T14:03:57,6,,,1716093033685418284,1716091470875087071,1222812567791456256,DenisBbosa1,,,,,reply,0,,,2,1,,@DenisBbosa1 That's a significant analysis because one goal and then social media is hyping him to the likes of Jude Bellingham. He needs to prove but equating him to such players will kill his game yet he has the potential. Let him remember welsha at arsenal due social media hyping,en,DenisBbosa1,,1697983437,2290,social media analysis,unknown,unknown
,https://pbs.twimg.com/media/F9DniDXWsAAbr_6.png,,1256144221679030273,Soffiyah_OA,,1716125088578224225,2023-10-22T16:15:06,2,,,1716126037409513677,1716125748086333942,1256144221679030273,Soffiyah_OA,,,,,reply,0,,,1,0,,"These visuals are incredibly effective for identifying the most common terms in a dataset. For instance, in social media sentiment analysis, a word cloud can reveal the most frequently used words or phrases in user comments, shedding light on public sentiment towards a particular https://t.co/y8BYLO6oeq",en,,,1697991306,25,social media analysis,unknown,unknown
,,,1377870292060626944,allaboutcrick74,,1716140037299904966,2023-10-22T17:10:43,74,,,1716140037299904966,,,,,,,,post,1,,,1,8,,idc whatever these tv channels do in wc shows but why would you call youtubers and social media influencers for analysis on a cricket match? like be fr. they don't even watch cricket all year? stop embarrassing yourself.,en,,,1697994643,2652,social media analysis,unknown,unknown
