attached_links_url,attached_medias_url,attached_videos,author_id,author_username,community_notes,conversation_id,created_time,favorite_count,geo_lat,geo_lon,id,in_reply_to_post_id,in_reply_to_profile_id,in_reply_to_profile_username,place_country_code,place_country_name,place_full_name,place_type,post_type,quote_count,quoted_status_id,quoted_status_profile_username,reply_count,retweet_count,source,text,text_lang,text_tagged_users,text_tags,timestamp,view_count,term,sentiment,tone
,https://video.twimg.com/ext_tw_video/1715671983239856128/pu/vid/avc1/720x1280/czHWsNXEpyg02amM.mp4?tag=12,https://video.twimg.com/ext_tw_video/1715671983239856128/pu/vid/avc1/720x1280/czHWsNXEpyg02amM.mp4?tag=12,1590627192769490945,RengaTech,,1715672073383858449,2023-10-21T10:11:12,4,,,1715672073383858449,,,,,,,,post,0,,,4,1,,"Learn any of these 6 Highly Profitable Skills
1. Social Media Marketing
2. Website Development
3. Search Engine Optimization (SEO)
4. Virtual Assistance
5. Creative Writing
6. Graphic Design https://t.co/0xfX0PpIo9",en,,,1697883072,278.0,social media marketing,unknown,unknown
,https://video.twimg.com/ext_tw_video/1715689524259348480/pu/vid/avc1/720x1280/e8mAF-AGy8nEcRNm.mp4?tag=12,https://video.twimg.com/ext_tw_video/1715689524259348480/pu/vid/avc1/720x1280/e8mAF-AGy8nEcRNm.mp4?tag=12,1686383807480664064,Rev_specialist,,1715691338006503768,2023-10-21T11:27:45,100,,,1715691338006503768,,,,,,,,post,0,,,5,11,,"Struggling to scale your sales? Look no further. Our secret sauce? Social ads.

Unlock these game-changing benefits:

-Fastest ROI in the industry
-Lead generation on steroids
-Expertise in social media marketing

Ready to level up? DM for a Free Guide https://t.co/AqUCmvqCt8",en,,,1697887665,1930.0,social media marketing,unknown,unknown
,https://video.twimg.com/ext_tw_video/1715804078994010112/pu/vid/avc1/720x1280/9b8AWdgMPY8u15h4.mp4?tag=12,https://video.twimg.com/ext_tw_video/1715804078994010112/pu/vid/avc1/720x1280/9b8AWdgMPY8u15h4.mp4?tag=12,1646059763417980932,malaikadigitall,,1715804315024322612,2023-10-21T18:56:41,31,,,1715804315024322612,,,,,,,,post,1,,,17,10,,"Here are five specific tips for social media marketing in 2023:

These strategies can help your social media marketing efforts stand out in 2023 and connect with your target audience effectively.

#DigitalMarketing
#ContentMarketing
#SocialMediaMarketing
#SEO
#EmailMarketing https://t.co/WNYrpIKIIC",en,,contentmarketing--|--digitalmarketing--|--emailmarketing--|--seo--|--socialmediamarketing,1697914601,1757.0,social media marketing,unknown,unknown
,,,1131352891,hitagisupremacy,,1716116585025278025,2023-10-22T15:37:32,9,,,1716116585025278025,,,,,,,,post,0,,,0,5,,"looking for job opportunities!
#propagandatwt @netanyahu @israel
 
- degrees in communications and marketing
- social media coordinator internship
- experience in creating propaganda for the russo-ukrainian war (both sides)

🇮🇱 likes+rts appreciated 🇮🇱",en,Israel--|--netanyahu,propagandatwt,1697989052,263.0,social media marketing,unknown,unknown
,,,1633396463798730752,CodyMGMT,,1716374428786082034,2023-10-23T08:42:07,9,,,1716374428786082034,,,,,,,,post,1,,,7,0,,"📝 | LFO As eSports Director

I Can Provide The Following:

- Finance
- Content (Short & Long From
- Social Media
- Marketing

+ More

DM me if you are interested in working with me!

❤️ & ♻️ are appreciated",en,,,1698050527,929.0,social media marketing,unknown,unknown
,https://video.twimg.com/ext_tw_video/1716413293651542016/pu/vid/avc1/720x900/KgZSj3IR_NFnMtob.mp4?tag=12,https://video.twimg.com/ext_tw_video/1716413293651542016/pu/vid/avc1/720x900/KgZSj3IR_NFnMtob.mp4?tag=12,1445364419261784073,QastcoL,,1716413984461721793,2023-10-23T11:19:17,4,,,1716413984461721793,,,,,,,,post,0,,,2,0,,"The Festive Season Greatest Offer for #Startups & Small Businesses, Save £1500 Every Month.  We Research the Industry & Analyze the Market, Plan & Design the Strategy  QASTCO Digital Marketing Experts for Content Creation, #Social Media Management,  Ads/PPC, #Website development. https://t.co/toAnlbEEwx",en,,social--|--startups--|--website,1698059957,234.0,social media marketing,unknown,unknown
,,,1443668034003083269,issaabufarhaa,,1716527441663963287,2023-10-23T18:50:08,403,,,1716527441663963287,,,,,,,,post,1,,,195,157,,"Dropshipping is one of the hardest business models to find success in

You need to be good at:

- Copywriting
- Customer acquisition/retention
- Social media marketing 
- Email/SMS marketing
- Website design
- Content creation

Trying to become profitable is the tip of the…",en,,,1698087008,41768.0,social media marketing,unknown,unknown
,,,18565350,1000TimesYes,,1716671387669279077,2023-10-24T04:22:07,1190,,,1716671387669279077,,,,,,,,post,10,,,18,89,,"I’m not under any illusion that these films are “high art” or anything, but the success of ‘Flower Moon’ proves ‘Oppenheimer’ wasn’t some morbin’ time social media marketing fluke. People just want auteuristic adult movies instead of being forcefed CGI intellectual property gruel",en,,,1698121327,113486.0,social media marketing,unknown,unknown
https://bit.ly/43xKj7q,https://video.twimg.com/ext_tw_video/1716696018794778624/pu/vid/avc1/720x720/F0GiPB8Lf7rysqpt.mp4?tag=12,https://video.twimg.com/ext_tw_video/1716696018794778624/pu/vid/avc1/720x720/F0GiPB8Lf7rysqpt.mp4?tag=12,1567773606662533120,BizzDesignAu,,1716711119010554240,2023-10-24T07:00:00,6,,,1716711119010554240,,,,,,,,post,0,,,0,0,,"Unleash your digital marketing potential with these top tips! 🚀💡 From social media to influencer marketing, we've got you covered. Elevate your online presence!

https://t.co/GU3yCi5pGP

#DigitalMarketing #MarketingTips #BizzDesign #BizzDesignAu https://t.co/wRhFAhCSrq",en,,bizzdesign--|--bizzdesignau--|--digitalmarketing--|--marketingtips,1698130800,66.0,social media marketing,unknown,unknown
,,,1709841911274422272,SHPR_agency,,1716719852151353727,2023-10-24T07:34:42,5,,,1716719852151353727,,,,,,,,post,8,,,4,5,,"Email Marketing 🆚 Social Media Marketing

Which will you say works better? 🤔",en,,,1698132882,4076.0,social media marketing,unknown,unknown
,https://video.twimg.com/amplify_video/1716809141350490112/vid/avc1/720x1280/yM0Yg4IfqLv0Fns8.mp4?tag=14,https://video.twimg.com/amplify_video/1716809141350490112/vid/avc1/720x1280/yM0Yg4IfqLv0Fns8.mp4?tag=14,1663746477414400000,shethreels,,1716809388487524743,2023-10-24T13:30:29,0,,,1716809388487524743,,,,,,,,post,0,,,0,0,,Unleashing the Power of Social Media Marketing and Photography Agencies https://t.co/H5Kl3mjjIE,en,,,1698154229,7.0,social media marketing,unknown,unknown
https://bit.ly/45wa8ps,https://pbs.twimg.com/media/F9Npz1NasAA1q12.png,,21314950,toplineweb,,1716832247779934528,2023-10-24T15:01:19,0,,,1716832247779934528,,,,,,,,post,0,,,0,0,,5 Reasons Social Media Marketing is Crucial for Your Business https://t.co/EcfrA7PvcC #socialmedia #social https://t.co/uh139Tchbk,en,,social--|--socialmedia,1698159679,,social media marketing,unknown,unknown
