name,phone,link/email
"Clothing, headwear, kit & shoes",,
K H Sports Tel:, 082 864 0861 ,www.khsport.co.za
Athletic,,
Arons Sports, 015 491 4733 ,mohammed.baksa@gmail.com
Kloppers, 051 400 5500 ,www. kloppers.co.za
Kloppers Sport 021 982 1899/, 021 883 2049 ,www.kloppers.co.za
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
SportsApp, 011 708 7570 ,shop@sportsapp.co.za
Trevor Smith Sports Newcastle, 034 312 7178 , info@trevorsmithsports.co.za
Trevor Smith Sports Benoni, 011 425 3522 ,benoni@trevorsmithsports.co.za
Wilson, 011 807 5362 ,brettsummers@mweb.co.za Athletic socks
Falke, 021 951 2137 ,customerservice@falke.co.za
Badminton,,
Arons Sports, 015 491 4733 ,mohammed.baksa@gmail.com
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
Trevor Smith Sports Newcastle, 034 312 7178 , info@trevorsmithsports.co.za
Trevor Smith Sports Benoni, 011 425 3522 ,benoni@trevorsmithsports.co.za
Baseball,,
Arons Sports, 015 491 4733 ,mohammed.baksa@gmail.com
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
SportsApp, 011 708 7570 ,shop@sportsapp.co.za
Trevor Smith Sports Newcastle, 034 312 7178 , info@trevorsmithsports.co.za
Trevor Smith Sports Benoni, 011 425 3522 ,benoni@trevorsmithsports.co.za Basketball
Arons Sports, 015 491 4733 ,mohammed.baksa@gmail.com
Kloppers, 051 400 5500 ,www. kloppers.co.za
Kloppers Sport 021 982 1899/, 021 883 2049 ,www.kloppers.co.za
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
SportsApp, 011 708 7570 ,shop@sportsapp.co.za
Trevor Smith Sports Newcastle, 034 312 7178 , info@trevorsmithsports.co.za
Trevor Smith Sports Benoni, 011 425 3522 ,benoni@trevorsmithsports.co.za
Bibs,,
Arons Sports, 015 491 4733 ,mohammed.baksa@gmail.com
Glow Gear, 021 886 6972 ,glow@glowgear.co.za
K H Sports, 082 864 0861 ,khsports@yahoo.com
Kloppers, 051 400 5500 ,www. kloppers.co.za
Kloppers Sport 021 982 1899/, 021 883 2049 ,www.kloppers.co.za
Opal Sports, 011 695 9640 ,anne@opalsport.com
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
SportsApp, 011 708 7570 ,shop@sportsapp.co.za
Trevor Smith Sports Newcastle,,
034 312 7178  info@trevorsmithsports.co.za,,
Trevor Smith Sports Benoni, 011 425 3522 ,benoni@trevorsmithsports.co.za Blazers
Amabokoboko Sport 082 450,,
1662 sales@amabokoboko.com,,
Arons Sports, 015 491 4733 ,mohammed.baksa@gmail.com
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
Trevor Smith Sports Newcastle, 034 312 7178 , info@trevorsmithsports.co.za
Trevor Smith Sports Benoni, 011 425 3522 ,benoni@trevorsmithsports.co.za
Boxing,,
K H Sports, 082 864 0861 ,khsports@yahoo.com
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
Compression,,
Falke, 021 951 2137 ,customerservice@falke.co.za
SportsApp, 011 708 7570 ,shop@sportsapp.co.za
K H Sports Tel:, 082 864 0861 ,www.khsport.co.za
Arons Sports, 015 491 4733 ,mohammed.baksa@gmail.com
K H Sports, 082 864 0861 ,khsports@yahoo.com
Kloppers, 051 400 5500 ,www. kloppers.co.za
Kloppers Sport 021 982 1899/ 021,,
883 2049 www.kloppers.co.za Opal Sports, 011 695 9640 ,anne@opalsport.com
Solly’s Sports Shop, 011 854 5468 ,accounts@sollysport.co.za
SportsApp, 011 708 7570 ,shop@sportsapp.co.za
